Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors,movieCd,fd_rank,w1_rank,w2_rank,w1_au,w2_au,w3_au
173.0,스트레인지 월드,2022-11-23,968821831.0,0.0,968821831.0,112910.0,112910.0,699.0,8463.0,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,"돈 홀,퀴 응우옌","제이크 질렌할,데니스 퀘이드,자부키 영-화이트,가브리엘 유니온,루시 리우",20228190,5,5,10,75749,97808,107370
174.0,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,1141910984.0,0.0,1141910984.0,111591.0,111591.0,234.0,8676.0,미국,미국,,워터홀컴퍼니(주),15세이상관람가,"액션,코미디","다니엘 콴,다니엘 쉐이너트","양자경,스테파니 수,키 호이 콴,제이미 리 커티스",20230340,10,11,10,26606,38617,69339
175.0,캐리와 슈퍼콜라,2023-01-18,1028263819.0,0.0,1028263819.0,111366.0,111366.0,474.0,6708.0,한국,한국,(주)캐리소프트,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,애니메이션,"오성윤,이춘백","최정윤,엄상현,이다은,원옥화,정주원,이창민,한상태,김지정,강나후,김신비,소경호",20228895,7,7,12,65884,89485,99365
176.0,에어,2023-04-05,1063344581.0,0.0,1063344581.0,110310.0,110310.0,656.0,16487.0,미국,미국,,워너브러더스 코리아(주),15세이상관람가,드라마,벤 애플렉,"맷 데이먼,벤 애플렉,제이슨 베이트먼,마론 웨이언스,크리스 메시나,크리스 터커,비올라 데이비스",20231010,3,3,8,87424,103796,108698
177.0,어메이징 모리스,2023-02-15,963997160.0,0.0,963997160.0,109302.0,109302.0,559.0,7735.0,독일,독일,,(주)블루라벨픽쳐스,전체관람가,"애니메이션,판타지,어드벤처",토비 젠켈,"휴 로리,에밀리아 클라크,데이빗 듈리스,히메쉬 파텔,정재헌,박지윤,오인성,김현욱,장미,홍진욱,정의한,이규창,김사라",20228966,4,4,8,60714,92623,106295
178.0,블랙폰,2022-09-07,1085449042.0,0.0,1085449042.0,107715.0,107715.0,495.0,10809.0,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,공포(호러),스콧 데릭슨,"에단 호크,메이슨 테임즈,매들린 맥그로",20212709,3,4,9,86289,104242,105756
179.0,스마일,2022-10-06,1124306658.0,0.0,1124306658.0,105651.0,105651.0,455.0,7659.0,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,"미스터리,공포(호러)",파커 핀,"소지 베이컨,제시 어셔,카일 갈너,케이틀린 스테이시,칼 펜,롭 모건",20225729,5,11,10,68559,89082,101487
180.0,아기상어 극장판: 사이렌 스톤의 비밀,2024-02-07,927999914.0,0.0,927999914.0,105010.0,105010.0,578.0,7771.0,미국,미국,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,,"장예나,전태열,이희승(엔하이픈),박종성(엔하이픈),심재윤(엔하이픈),박성훈(엔하이픈,김선우(엔하이픈),양정원(엔하이픈),니시무라 리키(엔하이픈),김보민,이채린(CL),정재헌,김보나,김은아,윤은서,이상호",20246966,8,8,9,60265,83188,98418
182.0,추락의 해부,2024-01-31,1015017749.0,0.0,1015017749.0,103251.0,103251.0,236.0,6116.0,프랑스,프랑스,,(주)스튜디오디에이치엘,15세이상관람가,"드라마,스릴러",쥐스틴 트리에,"산드라 휠러,스완 아를로,밀로 마차도 그라너",20234730,5,6,9,38111,59889,73914
183.0,뉴 노멀,2023-11-08,987958873.0,0.0,987958873.0,103037.0,103037.0,546.0,10934.0,한국,한국,언파스튜디오,(주)바이포엠스튜디오,15세이상관람가,"스릴러,드라마,코미디",정범식,"최지우,이유미,최민호,표지훈,하다인,정동원,이문식,이주실,이동규,황승언,김미화,이주우,류제윤,이현지",20225894,3,4,14,74944,99911,102426
