Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors
5660,토네이도 걸,,83000,0,83000,11,11,1,5,일본,일본,,,15세이상관람가,"코미디,멜로/로맨스",오오네 히토시,"츠마부키 사토시,미즈하라 키코"
5660,파산의 기술,,77000,0,263000,11,45,1,1,한국,한국,영화제작소 청년,,15세이상관람가,다큐멘터리,이강현,"이민아,이승희"
5693,AIYOUTH 2018 경쟁 언더24 (1),,30000,0,30000,10,10,1,1,한국,한국,,,,기타,,
5693,PIPFF 2019 스펙트럼 단편묶음(2),,53600,0,53600,10,10,1,1,한국,한국,,,,드라마,,
5693,SICAF2018 경쟁: 단편3,,50000,0,50000,10,10,1,1,기타,기타,,,,애니메이션,,
5693,SICAF2018 단편: 일본 미디어 아트 페스티벌 수상작,,50000,0,50000,10,10,1,1,기타,기타,,,,기타,,
5693,SIDOF 발견과 주목-도시 (재)개발의 기억들,,70000,0,70000,10,10,1,1,한국,한국,,,,기타,,
5693,[네마프2018] 글로컬 단편 1 - 장르의 가능성 I,,50000,0,50000,10,10,1,1,기타,기타,,,,기타,,
5693,[네마프2018] 한국 단편 5- 장르의 가능성 II,,50000,0,50000,10,10,1,2,한국,한국,,,,기타,,
5693,나는 흑인,,53000,0,53000,10,10,1,1,프랑스,프랑스,,,,드라마,,
5693,나르시스의 죽음,,65000,0,65000,10,10,1,2,한국,한국,,,,다큐멘터리,김응수,
5693,내 배우 영업전_공민정,,69000,0,69000,10,10,1,1,한국,한국,,,,기타,,
5693,내 배우 영업전_박수연,,70000,0,70000,10,10,1,1,한국,한국,,,,기타,,
5693,대구독립영화 연말정산 2018_시작한 자가 구하라,,70000,0,70000,10,10,1,1,한국,한국,,,,드라마,,
5693,리아나,,26000,0,26000,10,10,1,2,기타,기타,,,,"다큐멘터리,애니메이션",,
5693,맨 프럼 어스2: 홀로신,2018-05-16 00:00:00,16000,0,60000,10,39,5,10,미국,미국,,주식회사 레드아이스,12세이상관람가,"드라마,판타지,SF",리차드 쉔크만,"마이클 돈,바네사 윌리암스,윌리엄 캇"
5693,뮌헨행 야간열차,,58000,0,58000,10,10,1,2,영국,영국,,,,"스릴러,전쟁",캐롤 리드,
5693,뮤턴트 워,2018-07-05 00:00:00,50000,0,50000,10,10,1,1,이탈리아,이탈리아,,(주)히스토리필름,15세이상관람가,"SF,액션,판타지",가브리엘 살바토레,
5693,보존상: 천년의 유혼,2020-04-29 00:00:00,15000,0,15000,10,10,6,10,중국,중국,,(주)액티버스엔터테인먼트,15세이상관람가,기타,장적재,
5693,스페인에서 온 아이,,42000,0,42000,10,10,1,3,미국,미국,,,,"코미디,뮤지컬,멜로/로맨스",레오 맥커레이,"에디 캔터,로버트 영"
5693,아버지와 아들,,44000,0,44000,10,10,1,2,독일,독일,,,,다큐멘터리,,
5693,안녕하세요 하나님,1987-12-24 00:00:00,68000,0,965000,10,297,1,4,한국,한국,(주)동아수출공사,,연소자관람가,드라마,배창호,"김보연,전무송,안성기"
5693,어린 처제,2018-05-04 00:00:00,50000,0,1050000,10,190,1,1,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,최우성,
5693,여자들,2017-08-03 00:00:00,70000,0,22805100,10,3211,1,1,한국,한국,콧수염필름즈,㈜인디스토리,15세이상관람가,드라마,이상덕,"최시형,전여빈,채서진,요조,유이든,전소니,차원영,이종필"
5693,오늘 밤 사자는 잠든다,,62000,0,497000,10,101,1,2,프랑스,"프랑스,일본",,,,드라마,스와 노부히로,"장 피에르 레오,폴린 에티엔"
5693,오오극장 관객프로그래머 초이스! - 최진영 감독 단편전,,66000,0,66000,10,10,1,1,한국,한국,,,,기타,최진영,
5693,용산 남일당 이야기,,60000,0,1137000,10,321,1,1,한국,한국,,,,다큐멘터리,오두희,
5693,유관순과 8호감방,,100000,0,100000,10,10,1,1,한국,한국,,,12세이상관람가,기타,신상민,"이새봄,양윤희,김나니"
5693,제1회 스태프 영화제 - 사운드 고아영,,82000,0,82000,10,10,1,1,한국,한국,,,,기타,,
5693,종착역,,20000,0,17219000,10,8228,1,1,미국,"미국,이탈리아",,,,드라마,비토리오 데 시카,"제니퍼 존스,몽고메리 클리프트,지노 셀비,리차드 베이머"
5693,집행자,,20000,0,182000,10,74,1,1,미국,미국,,,,서부극(웨스턴),테드 포스트,"클린트 이스트우드,로이 글렌"
5693,최후의 증인,1980-11-15 00:00:00,60000,0,60000,10,10,1,3,한국,한국,세경영화㈜,,연소자관람불가,"드라마,범죄,전쟁",이두용,"하명중,정윤희,최불암,한혜숙,이대근,현길수,정규영"
5693,축제일,,63000,0,2968500,10,478,1,2,프랑스,프랑스,,,,코미디,자크 타티,"자크 타티,기 데콩블"
5693,타임 트랩 킬러,2019-03-07 00:00:00,10000,0,10000,10,10,10,10,미국,미국,,주식회사 루믹스미디어,15세이상관람가,"액션,SF",저스틴 루이스,
5693,파리오페라발레 갈라쇼,2015-05-02 00:00:00,40000,0,33008500,10,2130,1,1,프랑스,프랑스,,에스디시코리아 주식회사,전체관람가,공연,브리지트 르페브르,
5693,"플러스 사이즈, 새로운 아름다움",,60000,0,60000,10,10,1,2,캐나다,캐나다,,,,다큐멘터리,,
5693,핵마피아,,70000,0,945500,10,190,1,5,한국,한국,,,,다큐멘터리,김환태,
5728,11월 단편 상상극장-아파트에서 생긴 일,,72000,0,72000,9,9,1,4,한국,한국,,,,기타,,
5728,"11월 수요단편극장-어느 가을, 방황의 끝에서",,69000,0,69000,9,9,1,1,한국,한국,,,,기타,,
5728,"9월 SIDOF 발견과 주목 [청년, 서울 탈출을 꿈꾸다]",,63000,0,63000,9,9,1,1,한국,한국,,,,기타,,
5728,Media art work screening 6월,,36000,0,36000,9,9,1,2,한국,한국,,,,기타,,
5728,SPFF 2018 해외단편 3,,90000,0,90000,9,9,1,1,기타,기타,,,,기타,,
5728,[네마프2018] 뉴미디어대안영화 단편,,45000,0,45000,9,9,1,1,한국,한국,,,,기타,,
5728,[네마프2018] 한국 단편 2 - 대안적 네러티브 I,,44000,0,44000,9,9,1,2,한국,한국,,,,기타,,
5728,그라운드의 이방인,2015-03-19 00:00:00,45000,0,26222000,9,4017,1,2,한국,한국,㈜인디스토리,㈜인디스토리,전체관람가,다큐멘터리,김명준,"김근,양시철,배수찬,권해효,박용진,정원덕,조은성,김정아"
5728,내가 있던 세상,,40000,0,40000,9,9,1,1,프랑스,프랑스,,,,드라마,,
5728,떠나지 못하는 사람들 - 끝나지 않은 이야기,,54000,0,330000,9,64,1,1,한국,한국,,,,다큐멘터리,장호경,
5728,레전드,2015-12-10 00:00:00,90000,0,1439534930,9,180091,1,1,프랑스,"프랑스,영국",,(주)이수C&E,청소년관람불가,"액션,범죄,드라마",브라이언 헬겔랜드,"톰 하디,태런 에저튼,에밀리 브라우닝"
5728,미션 투 마스,2000-05-04 00:00:00,44000,0,44000,9,9,1,3,미국,미국,터치스톤 픽처스,브에나비스타인터내셔널코리아,전체관람가,"SF,액션,어드벤처",브라이언 드 팔마,"게리 시나이즈,팀 로빈스"
5728,바람 바람 바람,2018-04-05 00:00:00,54000,0,9784385375,9,1194229,1,11,한국,한국,(주)하이브미디어코프,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,코미디,이병헌,"이성민,신하균,송지효,이엘,장영남,고준,서성원,이주한,이지원,이혜수,김태강,유아름,유현종,정석원,김욱,김건,김기훈,강민지,김도연,김명준,황미영,김승원,김영현,김성우,강희수,양현민,허준석,전광진,김그림,엄지만,윤설"
5728,바람나무는 거문고처럼,,63000,0,63000,9,9,1,1,일본,일본,,,,드라마,,
5728,바바라,2013-03-21 00:00:00,48000,0,10823000,9,1539,1,3,독일,독일,,"M&M 인터내셔널,(주)영화사 조제",15세이상관람가,드라마,크리스티안 펫졸드,"니나 호스,로널드 제르펠트,라이너 보크"
5728,부엌의 전사들,,63000,0,63000,9,9,1,1,캐나다,캐나다,,,,다큐멘터리,,
5728,설지,2015-11-26 00:00:00,81000,0,2930100,9,389,1,2,한국,한국,"(주)영화사 통 ,이달투,(주)미로비젼","(주)박수엔터테인먼트,(주)미로스페이스",12세이상관람가,드라마,박진순,"다나,강은탁,이미소,이설애,장석우,한성수,김중기,공민정"
5728,스테잉 버티컬,,60000,0,5436400,9,794,1,2,프랑스,프랑스,,,청소년관람불가,드라마,알랭 기로디,
5728,시인의 사랑,2017-09-14 00:00:00,95000,0,97559900,9,12556,1,2,한국,한국,"(주)영화사진,(주)미인픽쳐스",CGV아트하우스,15세이상관람가,드라마,김양희,"양익준,전혜진,정가람,이은주,허건우,이지은,이한나,백지원,홍연이,강지혜"
